TICKET_NMBR,no_of_times_reassigned,STATUS,PRIORITY,BUSINESS_COMPLETION_HRS
IN10029406,4,RESOLVED,Low,60.11
IN10029414,2,RESOLVED,Low,32.45
IN10029416,2,RESOLVED,Medium,88.15
IN10029424,3,RESOLVED,Low,18.76
IN10029425,2,RESOLVED,Low,102.51
IN10029426,3,RESOLVED,Low,95.45
IN10029439,2,RESOLVED,Low,3.25
IN10029441,3,RESOLVED,Low,971.73
IN10029443,4,RESOLVED,Low,1143.52
IN10029445,2,RESOLVED,Low,523.97
IN10029450,3,RESOLVED,Low,1400.95
IN10029451,2,RESOLVED,Low,1523.62
IN10029454,2,RESOLVED,Low,0.67
IN10029456,2,RESOLVED,Medium,283.81
IN10029457,2,RESOLVED,Medium,283.82
IN10029458,2,RESOLVED,Medium,283.65
IN10029461,2,RESOLVED,Low,1.8
IN10029464,2,RESOLVED,Medium,14.63
IN10029466,2,RESOLVED,Low,665.73
IN10029467,2,RESOLVED,Low,452.03
IN10029477,2,RESOLVED,High,5.97
IN10029486,3,RESOLVED,High,215.38
IN10029487,3,RESOLVED,Low,379.89
IN10029488,3,RESOLVED,Low,690.33
IN10029493,2,RESOLVED,Low,19.62
IN10029494,2,RESOLVED,Low,7.0
IN10029495,3,,Low,126.9
IN10029499,2,RESOLVED,Low,19.48
IN10029503,2,RESOLVED,Low,15.0
IN10029504,2,RESOLVED,Low,692.85
IN10029507,2,RESOLVED,Low,0.33
IN10029510,4,RESOLVED,Low,703.0
IN10029515,2,RESOLVED,Low,7.15
IN10029517,3,RESOLVED,Low,272.35
IN10029519,2,RESOLVED,Low,3.6
IN10029520,2,RESOLVED,Low,266.3
IN10029523,2,RESOLVED,Low,0.55
IN10029525,2,RESOLVED,Low,283.02
IN10029532,3,RESOLVED,Low,374.87
IN10029537,2,RESOLVED,Low,1352.77
IN10029543,8,RESOLVED,Low,413.2
IN10029547,2,RESOLVED,Medium,0.0
IN10029554,2,RESOLVED,Low,78.73
IN10029559,2,RESOLVED,Medium,3.3
IN10029561,2,RESOLVED,Medium,81.35
IN10029562,2,RESOLVED,Low,0.38
IN10029568,3,RESOLVED,Low,422.47
IN10029570,2,RESOLVED,Low,49.28
IN10029577,2,RESOLVED,Low,363.52
IN10029585,2,RESOLVED,Medium,1.68
IN10029587,2,RESOLVED,Low,494.72
IN10029593,2,,Low,265.13
IN10029595,2,RESOLVED,Low,0.78
IN10029598,3,RESOLVED,Low,450.17
IN10029601,2,RESOLVED,Low,257.27
IN10029603,3,RESOLVED,Low,216.53
IN10029604,2,RESOLVED,Low,344.8
IN10029610,3,RESOLVED,Low,966.9
IN10029611,3,RESOLVED,Low,256.78
IN10029612,4,RESOLVED,Low,185.23
IN10029613,2,RESOLVED,Low,5.55
IN10029615,2,RESOLVED,Low,3.8
IN10029619,2,RESOLVED,Medium,81.16
IN10029625,5,RESOLVED,Low,41.17
IN10029638,2,RESOLVED,Low,647.3
IN10029640,2,RESOLVED,Low,253.97
IN10029646,2,RESOLVED,Low,15.33
IN10029647,2,RESOLVED,Low,44.47
IN10029652,2,RESOLVED,Low,68.73
IN10029654,2,RESOLVED,Low,253.8
IN10029658,3,RESOLVED,Low,525.74
IN10029661,2,RESOLVED,Low,42.45
IN10029662,3,RESOLVED,Low,0.95
IN10029663,2,RESOLVED,Low,0.02
IN10029663,2,RESOLVED,Low,0.02
IN10029668,2,RESOLVED,Low,10.72
IN10029672,3,RESOLVED,Low,1542.78
IN10029677,2,RESOLVED,Low,164.12
IN10029683,2,RESOLVED,Low,0.13
IN10029686,2,RESOLVED,Low,200.1
IN10029687,3,RESOLVED,Low,33.07
IN10029689,3,RESOLVED,Low,29.18
IN10029689,3,RESOLVED,Low,29.18
IN10029691,2,RESOLVED,Low,15.14
IN10029694,3,RESOLVED,Low,1819.75
IN10029695,3,RESOLVED,Low,2534.07
IN10029702,2,RESOLVED,Low,69.07
IN10029710,2,RESOLVED,Low,316.02
IN10029715,2,RESOLVED,Low,0.0
IN10029723,2,RESOLVED,Low,0.0
IN10029727,2,RESOLVED,Low,0.0
IN10029732,5,RESOLVED,Low,1529.02
IN10029733,5,RESOLVED,Low,1529.05
IN10029740,2,RESOLVED,Low,0.0
IN10029745,2,RESOLVED,Low,0.0
IN10029754,2,RESOLVED,Medium,0.2
IN10029755,5,RESOLVED,Low,17.23
IN10029760,3,RESOLVED,Low,1553.87
IN10029761,4,RESOLVED,Low,145.68
IN10029762,2,RESOLVED,Low,45.5
IN10029766,2,RESOLVED,Low,30.0
IN10029770,2,RESOLVED,Low,318.47
IN10029771,3,RESOLVED,Low,23.78
IN10029773,3,RESOLVED,Low,213.87
IN10029778,2,RESOLVED,Low,390.0
IN10029779,2,RESOLVED,Low,348.45
IN10029780,5,RESOLVED,Medium,1257.88
IN10029783,4,RESOLVED,Low,541.22
IN10029784,4,RESOLVED,Low,24.52
IN10029787,4,RESOLVED,Medium,20.02
IN10029788,2,RESOLVED,Low,20.0
IN10029792,4,RESOLVED,Low,7.5
IN10029800,2,RESOLVED,Low,71.85
IN10029802,3,RESOLVED,Medium,65.59
IN10029808,3,RESOLVED,Low,953.98
IN10029809,2,RESOLVED,Low,42.81
IN10029811,2,RESOLVED,Low,836.07
IN10029812,2,RESOLVED,Low,16.63
IN10029813,2,RESOLVED,Low,692.83
IN10029818,4,RESOLVED,Low,347.72
IN10029820,4,RESOLVED,Low,244.72
IN10029821,2,RESOLVED,Low,154.68
IN10029826,2,RESOLVED,Low,12.5
IN10029834,2,RESOLVED,Low,11.41
IN10029836,2,RESOLVED,Low,17.26
IN10029838,2,RESOLVED,Low,4.73
IN10029840,4,RESOLVED,Low,346.88
IN10029843,2,RESOLVED,Low,198.9
IN10029845,2,RESOLVED,Low,4.5
IN10029852,4,RESOLVED,Low,2663.25
IN10029853,4,RESOLVED,Low,7.37
IN10029855,2,RESOLVED,Low,43.23
IN10029875,3,RESOLVED,Low,13.01
IN10029878,2,RESOLVED,Low,225.63
IN10029879,2,RESOLVED,Low,168.8
IN10029881,2,RESOLVED,Low,148.13
IN10029882,4,RESOLVED,Low,8.98
IN10029890,2,RESOLVED,Low,248.02
IN10029903,2,RESOLVED,Low,64.28
IN10029909,2,RESOLVED,Low,7.61
IN10029923,2,RESOLVED,Low,0.25
IN10029931,2,RESOLVED,Low,3.83
IN10029932,2,RESOLVED,Low,0.0
IN10029934,2,RESOLVED,Medium,0.0
IN10029939,2,RESOLVED,Low,31.8
IN10029940,2,RESOLVED,Low,31.78
IN10029941,2,RESOLVED,Low,6.95
IN10029945,2,RESOLVED,Medium,5.08
IN10029949,2,RESOLVED,Low,20.48
IN10029953,2,RESOLVED,Low,84.55
IN10029957,3,RESOLVED,Low,53.91
IN10029958,3,RESOLVED,Low,239.77
IN10029962,3,RESOLVED,Low,136.92
IN10029963,4,RESOLVED,Low,381.68
IN10029964,2,RESOLVED,Low,0.68
IN10029966,2,RESOLVED,Low,7.73
IN10029977,2,RESOLVED,Low,75.25
IN10029978,2,RESOLVED,Medium,425.17
IN10029979,2,RESOLVED,Low,1509.97
IN10029980,2,RESOLVED,Low,21.17
IN10029987,3,RESOLVED,Low,91.2
IN10029990,4,RESOLVED,Medium,481.05
IN10029991,2,RESOLVED,Low,321.87
IN10030000,2,RESOLVED,Low,2.68
IN10030003,2,RESOLVED,Medium,1.03
IN10030005,2,RESOLVED,Medium,253.73
IN10030006,2,RESOLVED,Low,0.02
IN10030008,3,RESOLVED,Low,9.0
IN10030016,3,RESOLVED,Low,318.9
IN10030027,3,RESOLVED,Low,23.08
IN10030028,2,RESOLVED,High,0.57
IN10030036,2,RESOLVED,Medium,880.09
IN10030041,2,,Low,69.0
IN10030045,2,RESOLVED,Low,111.94
IN10030050,2,RESOLVED,Low,88.52
IN10030054,2,RESOLVED,Low,1.17
IN10030056,2,RESOLVED,Low,11.22
IN10030065,4,RESOLVED,Low,289.67
IN10030068,2,RESOLVED,Low,456.26
IN10030076,2,RESOLVED,Low,1.43
IN10030080,3,RESOLVED,Low,1403.18
IN10030085,6,RESOLVED,Medium,147.87
IN10030090,2,RESOLVED,Low,53.57
IN10030092,2,RESOLVED,Low,166.1
IN10030095,2,RESOLVED,Low,122.28
IN10030098,2,RESOLVED,Low,8.0
IN10030101,2,RESOLVED,Low,43.7
IN10030102,4,RESOLVED,Low,163.25
IN10030105,2,RESOLVED,Low,346.08
IN10030106,2,RESOLVED,Low,67.1
IN10030111,2,RESOLVED,Low,2.52
IN10030112,2,RESOLVED,Low,932.75
IN10030114,2,RESOLVED,Low,1215.72
IN10030118,2,RESOLVED,Low,4.28
IN10030119,2,RESOLVED,Low,0.37
IN10030123,2,RESOLVED,Low,3.27
IN10030125,5,RESOLVED,Low,480.14
IN10030128,2,RESOLVED,Low,1.23
IN10030131,2,,Medium,950.84
IN10030132,2,RESOLVED,Low,10.68
IN10030133,3,RESOLVED,Low,119.58
IN10030133,3,RESOLVED,Low,119.58
IN10030134,2,RESOLVED,Low,850.99
IN10030141,3,RESOLVED,Low,273.5
IN10030143,2,RESOLVED,Low,2.33
IN10030144,2,RESOLVED,Low,2.33
IN10030151,3,RESOLVED,Low,135.25
IN10030155,3,RESOLVED,Low,308.1
IN10030156,2,RESOLVED,Low,7.56
IN10030157,2,RESOLVED,Low,1213.25
IN10030158,2,RESOLVED,Low,210.73
IN10030159,2,RESOLVED,Low,3.75
IN10030168,5,RESOLVED,Low,17.35
IN10030169,2,RESOLVED,Low,0.97
IN10030172,3,RESOLVED,Medium,12.8
IN10030178,2,RESOLVED,Low,36.9
IN10030183,3,RESOLVED,Low,1324.93
IN10030191,2,RESOLVED,Low,122.27
IN10030194,3,RESOLVED,Low,305.35
IN10030196,2,RESOLVED,Low,30.15
IN10030201,2,RESOLVED,Low,0.0
IN10030213,2,RESOLVED,Low,0.0
IN10030217,4,RESOLVED,Medium,2.02
IN10030221,2,RESOLVED,Low,298.52
IN10030222,3,RESOLVED,Low,302.5
IN10030223,2,RESOLVED,Low,305.23
IN10030224,3,RESOLVED,Low,1206.15
IN10030235,3,RESOLVED,Low,375.28
IN10030242,3,RESOLVED,Low,340.0
IN10030244,3,RESOLVED,Low,17.93
IN10030245,2,RESOLVED,Low,18.6
IN10030252,2,RESOLVED,Low,3.88
IN10030256,2,RESOLVED,Low,3.8
IN10030269,4,RESOLVED,Low,202.1
IN10030270,3,RESOLVED,Low,1251.05
IN10030271,2,RESOLVED,Low,485.75
IN10030272,5,RESOLVED,High,27.68
IN10030273,2,RESOLVED,Low,39.58
IN10030277,2,RESOLVED,Low,381.71
IN10030280,3,RESOLVED,Low,37.71
IN10030283,2,RESOLVED,Medium,2.53
IN10030284,3,,Low,1745.44
IN10030294,2,RESOLVED,Low,9.98
IN10030296,6,RESOLVED,Low,150.76
IN10030305,2,RESOLVED,Low,11.0
IN10030306,3,RESOLVED,Low,1208.72
IN10030312,2,RESOLVED,Low,480.4
IN10030320,2,RESOLVED,Low,1432.13
IN10030322,2,RESOLVED,Medium,47.19
IN10030323,3,RESOLVED,Medium,17.4
IN10030324,4,RESOLVED,Low,818.55
IN10030325,2,RESOLVED,Low,53.07
IN10030327,2,RESOLVED,Low,1.37
IN10030328,3,RESOLVED,Low,77.16
IN10030329,2,RESOLVED,Low,902.98
IN10030330,2,RESOLVED,Low,122.44
IN10030332,2,RESOLVED,Low,8.55
IN10030339,4,RESOLVED,Low,20.35
IN10030340,2,,Low,1740.2
IN10030342,2,RESOLVED,Low,14.98
IN10030344,3,RESOLVED,Low,563.79
IN10030345,2,RESOLVED,Low,50.58
IN10030351,3,RESOLVED,Low,192.32
IN10030352,2,RESOLVED,Low,5.35
IN10030354,2,RESOLVED,Low,57.25
IN10030355,2,RESOLVED,Low,84.25
IN10030356,3,RESOLVED,Low,142.36
IN10030366,3,RESOLVED,Low,1755.65
IN10030369,2,RESOLVED,Medium,12.5
IN10030371,3,RESOLVED,Low,883.07
IN10030374,3,RESOLVED,Low,55.28
IN10030376,3,RESOLVED,Low,56.1
IN10030384,2,RESOLVED,High,7.06
IN10030391,3,,Low,333.28
IN10030393,3,RESOLVED,Low,292.77
IN10030395,3,RESOLVED,Low,3.93
IN10030403,3,RESOLVED,Low,22.67
IN10030404,2,RESOLVED,Low,2.37
IN10030411,2,RESOLVED,Low,51.82
IN10030413,3,RESOLVED,Low,56.03
IN10030414,2,RESOLVED,Low,51.35
IN10030415,2,RESOLVED,Low,51.06
IN10030419,3,RESOLVED,Low,33.15
IN10030422,3,RESOLVED,Low,122.5
IN10030431,3,RESOLVED,Medium,1.12
IN10030433,3,RESOLVED,Low,48.97
IN10030440,4,RESOLVED,Low,318.5
IN10030443,3,RESOLVED,Low,58.65
IN10030451,3,RESOLVED,Low,29.83
IN10030453,3,RESOLVED,Low,1118.3
IN10030456,2,RESOLVED,Medium,5.05
IN10030457,2,RESOLVED,Medium,53.15
IN10030459,3,RESOLVED,Low,29.22
IN10030460,3,RESOLVED,Low,29.06
IN10030469,2,RESOLVED,Low,52.27
IN10030473,2,RESOLVED,Low,0.45
IN10030475,2,RESOLVED,Low,836.58
IN10030490,2,RESOLVED,Low,278.53
IN10030501,2,RESOLVED,Low,37.55
IN10030504,2,RESOLVED,Low,36.63
IN10030506,5,RESOLVED,Low,221.6
IN10030507,6,RESOLVED,Low,477.53
IN10030508,2,RESOLVED,Medium,5.63
IN10030513,2,RESOLVED,Low,58.92
IN10030520,3,RESOLVED,Low,77.62
IN10030523,2,RESOLVED,Low,36.16
IN10030526,2,RESOLVED,High,1.22
IN10030530,2,RESOLVED,Low,30.32
IN10030532,6,RESOLVED,Low,193.55
IN10030535,4,RESOLVED,Low,51.63
IN10030538,3,RESOLVED,Low,16.46
IN10030539,2,RESOLVED,Low,128.28
IN10030547,2,RESOLVED,Low,238.13
IN10030548,2,RESOLVED,Low,237.8
IN10030555,4,RESOLVED,Low,509.97
IN10030560,4,RESOLVED,Low,31.69
IN10030582,2,RESOLVED,Low,115.93
IN10030587,2,,Low,1572.9
IN10030588,3,RESOLVED,Low,862.39
IN10030594,2,RESOLVED,Low,25.39
IN10030596,2,RESOLVED,Low,665.8
IN10030599,4,RESOLVED,Low,0.23
IN10030599,4,RESOLVED,Low,0.23
IN10030604,2,RESOLVED,Low,340.76
IN10030608,3,RESOLVED,Low,59.02
IN10030610,2,RESOLVED,Low,7.38
IN10030615,3,RESOLVED,Low,68.86
IN10030622,2,RESOLVED,Medium,195.23
IN10030623,2,RESOLVED,Low,14.13
IN10030624,2,RESOLVED,Medium,550.98
IN10030625,3,RESOLVED,Low,1109.45
IN10030628,3,RESOLVED,Low,74.9
IN10030629,2,RESOLVED,Low,406.25
IN10030641,3,RESOLVED,Low,832.93
IN10030642,4,RESOLVED,Low,1710.8
IN10030643,3,RESOLVED,Low,262.15
IN10030644,3,RESOLVED,Low,1695.43
IN10030660,2,RESOLVED,High,0.52
IN10030662,3,RESOLVED,Low,740.0
IN10030663,2,RESOLVED,Low,759.83
IN10030667,2,RESOLVED,Low,206.85
IN10030672,4,RESOLVED,Low,445.87
IN10030677,2,RESOLVED,Low,9.1
IN10030679,4,RESOLVED,Low,225.74
IN10030679,4,RESOLVED,Low,225.74
IN10030690,2,RESOLVED,Low,30.95
IN10030694,3,RESOLVED,Low,45.43
IN10030695,2,RESOLVED,Low,0.08
IN10030697,2,RESOLVED,Low,10.12
IN10030707,2,RESOLVED,Low,151.38
IN10030718,6,RESOLVED,Low,1095.55
IN10030718,6,RESOLVED,Low,1095.55
IN10030728,2,RESOLVED,Low,1.92
IN10030733,3,RESOLVED,Low,2.13
IN10030736,2,RESOLVED,Low,59.78
IN10030746,2,RESOLVED,Medium,111.4
IN10030748,2,RESOLVED,Low,13.73
IN10030753,3,RESOLVED,Low,434.47
IN10030759,2,RESOLVED,Low,12.07
IN10030762,2,RESOLVED,Low,87.92
IN10030774,3,RESOLVED,Low,2459.88
IN10030785,4,RESOLVED,Low,26.18
IN10030786,2,RESOLVED,Low,24.4
IN10030791,3,RESOLVED,Low,406.45
IN10030804,3,RESOLVED,Low,6.02
IN10030808,3,RESOLVED,Low,90.88
IN10030809,2,RESOLVED,Low,11.55
IN10030819,3,RESOLVED,Low,18.13
IN10030825,3,RESOLVED,High,18.36
IN10030828,2,RESOLVED,Low,1282.9
IN10030831,3,RESOLVED,Low,15.68
IN10030832,3,RESOLVED,Low,2.05
IN10030834,2,RESOLVED,Low,123.42
IN10030843,2,RESOLVED,Medium,0.0
IN10030848,4,RESOLVED,Low,31.77
IN10030849,8,RESOLVED,Low,365.02
IN10030850,3,RESOLVED,Low,210.8
IN10030856,4,RESOLVED,Low,242.8
IN10030858,5,RESOLVED,Low,1439.85
IN10030860,2,RESOLVED,Medium,227.37
IN10030863,3,RESOLVED,Low,74.25
IN10030864,2,RESOLVED,Low,413.74
IN10030866,9,RESOLVED,Low,1655.51
IN10030867,3,RESOLVED,Low,2000.88
IN10030868,3,RESOLVED,Low,3.33
IN10030871,2,RESOLVED,Low,131.17
IN10030872,2,RESOLVED,Low,102.97
IN10030877,3,RESOLVED,Low,2404.6
IN10030882,3,RESOLVED,Low,403.69
IN10030886,3,RESOLVED,Low,121.2
IN10030887,2,RESOLVED,Medium,20.85
IN10030901,2,RESOLVED,Low,122.88
IN10030902,2,RESOLVED,Low,190.37
IN10030905,2,RESOLVED,Low,798.53
IN10030910,3,RESOLVED,Low,236.55
IN10030913,2,RESOLVED,Low,1009.44
IN10030914,2,RESOLVED,Low,1.32
IN10030918,2,RESOLVED,Low,670.05
IN10030920,2,RESOLVED,Low,1212.05
IN10030925,2,RESOLVED,Low,118.18
IN10030926,2,RESOLVED,Low,0.0
IN10030929,5,RESOLVED,Low,195.52
IN10030936,3,RESOLVED,Low,602.13
IN10030938,2,RESOLVED,Low,85.83
IN10030940,2,RESOLVED,High,1.24
IN10030941,3,RESOLVED,Low,22.25
IN10030951,2,RESOLVED,Low,85.12
IN10030960,6,RESOLVED,Low,1711.5
IN10030961,5,RESOLVED,Low,112.38
IN10030962,2,RESOLVED,Low,14.65
IN10030963,3,RESOLVED,Low,17.1
IN10030964,2,RESOLVED,Low,962.0
IN10030965,2,RESOLVED,Low,19.65
IN10030967,2,RESOLVED,Low,12.31
IN10030970,3,RESOLVED,Low,82.83
IN10030972,4,RESOLVED,Low,181.62
IN10030973,2,RESOLVED,Low,48.85
IN10030975,3,RESOLVED,Low,474.77
IN10030976,2,RESOLVED,Medium,80.85
IN10030982,2,RESOLVED,Low,77.82
IN10030983,2,RESOLVED,Low,228.02
IN10030984,2,RESOLVED,Low,37.43
IN10030987,2,RESOLVED,Low,26.24
IN10030991,2,RESOLVED,Low,179.26
IN10030995,2,RESOLVED,Low,15.03
IN10030996,2,RESOLVED,Low,27.89
IN10031002,3,RESOLVED,Low,78.22
IN10031006,3,RESOLVED,High,10.0
IN10031013,2,RESOLVED,Low,72.68
IN10031014,2,RESOLVED,Low,0.93
IN10031016,4,RESOLVED,Low,89.13
IN10031017,2,RESOLVED,Low,33.47
IN10031017,2,RESOLVED,Low,33.47
IN10031018,3,RESOLVED,Low,0.0
IN10031025,2,RESOLVED,Low,997.8
IN10031031,2,RESOLVED,Low,3.47
IN10031035,2,RESOLVED,Low,10.0
IN10031036,2,RESOLVED,Low,7.73
