TICKET_NMBR,assigned_group
IN10028965,1
IN10028966,1
IN10028967,1
IN10028969,1
IN10028972,1
IN10028973,2
IN10028974,1
IN10028975,1
IN10028976,1
IN10028977,3
IN10028978,1
IN10028979,1
IN10028980,0
IN10028983,1
IN10028984,1
IN10028986,1
IN10028987,2
IN10028988,1
IN10028989,1
IN10028990,1
IN10028991,1
IN10028992,1
IN10028993,1
IN10028994,1
IN10028995,1
IN10028996,1
IN10028997,4
IN10028998,5
IN10028999,1
IN10029000,1
IN10029001,1
IN10029002,2
IN10029004,2
IN10029005,1
IN10029006,1
IN10029007,1
IN10029008,1
IN10029009,2
IN10029010,1
IN10029011,2
IN10029012,1
IN10029013,1
IN10029014,1
IN10029017,1
IN10029018,2
IN10029019,1
IN10029020,5
IN10029021,1
IN10029022,1
IN10029023,1
IN10029024,1
IN10029025,2
IN10029026,1
IN10029027,1
IN10029029,1
IN10029034,1
IN10029035,1
IN10029037,1
IN10029038,1
IN10029040,1
IN10029042,1
IN10029046,1
IN10029047,1
IN10029048,1
IN10029050,1
IN10029051,1
IN10029056,1
IN10029058,1
IN10029064,1
IN10029073,2
IN10029074,1
IN10029082,1
IN10029087,1
IN10029088,4
IN10029089,1
IN10029090,1
IN10029091,2
IN10029093,5
IN10029094,1
IN10029095,1
IN10029096,2
IN10029097,1
IN10029098,2
IN10029099,1
IN10029104,3
IN10029105,2
IN10029106,3
IN10029107,0
IN10029108,2
IN10029109,3
IN10029110,2
IN10029111,1
IN10029112,2
IN10029113,2
IN10029114,1
IN10029115,1
IN10029116,1
IN10029117,1
IN10029118,2
IN10029119,2
IN10029120,1
IN10029122,2
IN10029123,2
IN10029124,1
IN10029126,1
IN10029127,1
IN10029128,4
IN10029129,1
IN10029130,2
IN10029131,1
IN10029132,1
IN10029133,1
IN10029134,1
IN10029135,2
IN10029136,1
IN10029137,1
IN10029138,1
IN10029139,3
IN10029140,1
IN10029141,1
IN10029142,1
IN10029143,1
IN10029144,1
IN10029145,1
IN10029146,1
IN10029147,3
IN10029148,3
IN10029149,1
IN10029150,1
IN10029151,1
IN10029152,2
IN10029153,1
IN10029154,1
IN10029155,5
IN10029156,2
IN10029157,2
IN10029158,3
IN10029160,1
IN10029161,1
IN10029162,1
IN10029163,7
IN10029164,3
IN10029165,5
IN10029166,1
IN10029167,3
IN10029168,1
IN10029170,1
IN10029172,1
IN10029173,1
IN10029174,1
IN10029175,1
IN10029176,1
IN10029177,3
IN10029178,1
IN10029179,1
IN10029180,1
IN10029181,1
IN10029182,1
IN10029183,1
IN10029184,1
IN10029185,4
IN10029186,1
IN10029187,1
IN10029188,1
IN10029189,1
IN10029190,1
IN10029192,1
IN10029193,3
IN10029194,1
IN10029195,2
IN10029196,2
IN10029198,1
IN10029200,2
IN10029201,4
IN10029202,1
IN10029203,1
IN10029204,1
IN10029205,2
IN10029206,1
IN10029207,1
IN10029208,1
IN10029209,1
IN10029210,2
IN10029211,1
IN10029212,2
IN10029213,2
IN10029214,2
IN10029215,3
IN10029216,1
IN10029217,1
IN10029218,2
IN10029219,2
IN10029220,3
IN10029221,1
IN10029222,2
IN10029223,2
IN10029224,2
IN10029225,1
IN10029226,1
IN10029227,2
IN10029228,2
IN10029229,1
IN10029230,0
IN10029231,4
IN10029232,2
IN10029233,2
IN10029234,1
IN10029235,1
IN10029236,2
IN10029237,1
IN10029238,1
IN10029239,1
IN10029240,1
IN10029241,1
IN10029243,3
IN10029244,2
IN10029245,1
IN10029246,2
IN10029247,1
IN10029248,1
IN10029250,2
IN10029251,1
IN10029252,1
IN10029253,1
IN10029254,1
IN10029255,1
IN10029256,2
IN10029257,3
IN10029258,1
IN10029259,1
IN10029260,1
IN10029261,1
IN10029262,5
IN10029263,2
IN10029264,1
IN10029265,1
IN10029266,1
IN10029267,1
IN10029268,1
IN10029269,1
IN10029270,2
IN10029271,2
IN10029272,1
IN10029273,1
IN10029274,1
IN10029275,1
IN10029276,2
IN10029277,1
IN10029278,2
IN10029279,3
IN10029280,1
IN10029281,0
IN10029282,2
IN10029283,4
IN10029284,1
IN10029285,1
IN10029286,1
IN10029287,1
IN10029288,1
IN10029290,1
IN10029291,1
IN10029292,3
IN10029293,1
IN10029294,2
IN10029295,1
IN10029296,2
IN10029297,2
IN10029298,2
IN10029299,1
IN10029300,1
IN10029301,3
IN10029302,1
IN10029303,1
IN10029304,2
IN10029305,1
IN10029306,2
IN10029307,1
IN10029308,1
IN10029309,1
IN10029310,0
IN10029311,1
IN10029312,1
IN10029313,2
IN10029314,1
IN10029315,1
IN10029316,1
IN10029317,1
IN10029318,1
IN10029319,1
IN10029320,1
IN10029321,1
IN10029323,1
IN10029324,2
IN10029325,1
IN10029326,1
IN10029328,0
IN10029329,2
IN10029330,1
IN10029331,1
IN10029332,1
IN10029333,1
IN10029334,2
IN10029335,1
IN10029336,1
IN10029337,0
IN10029338,1
IN10029339,2
IN10029340,1
IN10029341,1
IN10029342,2
IN10029343,2
IN10029344,1
IN10029347,2
IN10029348,1
IN10029349,3
IN10029350,2
IN10029351,2
IN10029352,2
IN10029353,1
IN10029354,1
IN10029355,1
IN10029356,2
IN10029358,3
IN10029359,1
IN10029360,1
IN10029361,1
IN10029362,1
IN10029363,1
IN10029364,2
IN10029365,1
IN10029366,1
IN10029367,2
IN10029368,1
IN10029369,3
IN10029370,1
IN10029371,1
IN10029373,0
IN10029374,1
IN10029375,1
IN10029376,1
IN10029377,1
IN10029378,1
IN10029379,4
IN10029380,1
IN10029381,1
IN10029382,2
IN10029383,2
IN10029384,2
IN10029385,7
IN10029386,1
IN10029387,1
IN10029388,2
IN10029389,2
IN10029390,4
IN10029391,1
IN10029392,1
IN10029393,1
IN10029394,4
IN10029395,1
IN10029397,1
IN10029398,1
IN10029399,1
IN10029400,1
IN10029401,1
IN10029402,1
IN10029403,1
IN10029404,1
IN10029405,1
IN10029406,4
IN10029407,1
IN10029408,1
IN10029409,1
IN10029410,1
IN10029411,1
IN10029412,1
IN10029413,1
IN10029414,2
IN10029415,1
IN10029416,2
IN10029417,1
IN10029418,1
IN10029419,1
IN10029420,1
IN10029421,1
IN10029422,1
IN10029423,1
IN10029424,3
IN10029425,2
IN10029426,3
IN10029427,1
IN10029428,1
IN10029429,1
IN10029430,1
IN10029432,1
IN10029433,1
IN10029434,1
IN10029436,1
IN10029437,1
IN10029438,1
IN10029439,2
IN10029440,1
IN10029441,3
IN10029442,1
IN10029443,4
IN10029444,1
IN10029445,2
IN10029446,1
IN10029447,1
IN10029448,1
IN10029449,1
IN10029450,3
IN10029451,2
IN10029452,1
IN10029453,1
IN10029454,2
IN10029455,1
IN10029456,2
IN10029457,2
IN10029458,2
IN10029459,1
IN10029460,1
IN10029461,2
IN10029462,1
IN10029463,1
IN10029464,2
IN10029465,1
IN10029466,2
IN10029467,2
IN10029469,1
IN10029472,1
IN10029474,1
IN10029475,1
IN10029477,2
IN10029479,1
IN10029481,1
IN10029482,1
IN10029483,1
IN10029484,1
IN10029485,1
IN10029486,3
IN10029487,3
IN10029488,3
IN10029489,1
IN10029490,1
IN10029491,1
IN10029492,1
IN10029493,2
IN10029494,2
IN10029495,3
IN10029496,1
IN10029497,0
IN10029499,2
IN10029500,1
IN10029501,1
IN10029502,1
IN10029503,2
IN10029504,2
IN10029505,1
IN10029506,1
IN10029507,2
IN10029509,1
IN10029510,4
IN10029511,1
IN10029512,1
IN10029513,1
IN10029514,1
IN10029515,2
IN10029516,1
IN10029517,3
IN10029518,1
IN10029519,2
IN10029520,2
IN10029522,1
IN10029523,2
IN10029524,1
IN10029525,2
IN10029526,1
IN10029527,1
IN10029528,1
IN10029529,1
IN10029530,1
IN10029531,1
IN10029532,3
IN10029533,1
IN10029534,1
IN10029535,1
IN10029536,1
IN10029537,2
IN10029538,1
IN10029539,1
IN10029540,1
IN10029542,1
IN10029543,8
IN10029544,1
IN10029545,1
IN10029546,1
IN10029547,2
IN10029549,1
IN10029552,1
IN10029553,1
IN10029554,2
IN10029555,1
IN10029556,1
IN10029557,1
IN10029558,1
IN10029559,2
IN10029560,1
IN10029561,2
IN10029562,2
IN10029563,1
IN10029564,0
IN10029565,1
IN10029566,1
IN10029567,1
IN10029568,3
IN10029569,1
IN10029570,2
IN10029571,1
IN10029572,1
IN10029573,1
IN10029574,1
IN10029575,1
IN10029576,1
IN10029577,2
IN10029578,1
IN10029579,1
IN10029580,1
IN10029581,1
IN10029582,1
IN10029583,1
IN10029585,2
IN10029586,1
IN10029587,2
IN10029588,1
IN10029589,1
IN10029590,1
IN10029591,1
IN10029592,1
IN10029593,2
IN10029594,1
IN10029595,2
IN10029596,1
IN10029597,1
IN10029598,3
IN10029599,1
IN10029601,2
IN10029602,1
IN10029603,3
IN10029604,2
IN10029605,1
IN10029606,1
IN10029607,1
IN10029608,1
IN10029609,1
IN10029610,3
IN10029611,3
IN10029612,4
IN10029613,2
IN10029614,1
IN10029615,2
IN10029616,1
IN10029617,1
IN10029618,1
IN10029619,2
IN10029620,1
IN10029623,0
IN10029624,1
IN10029625,5
IN10029626,1
IN10029628,1
IN10029629,1
IN10029630,1
IN10029631,1
IN10029632,1
IN10029633,1
IN10029634,1
IN10029635,0
IN10029636,1
IN10029637,1
IN10029638,2
IN10029639,1
IN10029640,2
IN10029641,1
IN10029642,1
IN10029643,1
IN10029644,1
IN10029646,2
IN10029647,2
IN10029648,1
IN10029650,1
IN10029651,1
IN10029652,2
IN10029653,1
IN10029654,2
IN10029655,1
IN10029656,1
IN10029658,3
IN10029660,1
IN10029661,2
IN10029662,3
IN10029663,2
IN10029664,1
IN10029665,1
IN10029666,1
IN10029667,1
IN10029668,2
IN10029672,3
IN10029673,1
IN10029675,1
IN10029676,1
IN10029677,2
IN10029678,1
IN10029679,1
IN10029680,1
IN10029681,1
IN10029682,1
IN10029683,2
IN10029684,1
IN10029686,2
IN10029687,3
IN10029688,1
IN10029689,3
IN10029690,1
IN10029691,2
IN10029692,1
IN10029693,1
IN10029694,3
IN10029695,3
IN10029696,1
IN10029698,1
IN10029699,1
IN10029700,1
IN10029702,2
IN10029703,1
IN10029704,1
IN10029705,1
IN10029706,1
IN10029707,1
IN10029708,1
IN10029709,1
IN10029710,2
IN10029711,1
IN10029712,1
IN10029713,1
IN10029714,1
IN10029715,2
IN10029716,1
IN10029718,1
IN10029720,1
IN10029721,1
IN10029723,2
IN10029724,1
IN10029726,1
IN10029727,2
IN10029728,1
IN10029729,1
IN10029730,1
IN10029731,1
IN10029732,5
IN10029733,5
IN10029735,1
IN10029736,1
IN10029737,1
IN10029738,1
IN10029740,2
IN10029741,1
IN10029744,1
IN10029745,2
IN10029746,1
IN10029747,1
IN10029748,1
IN10029749,1
IN10029750,1
IN10029752,1
IN10029753,1
IN10029754,2
IN10029755,5
IN10029757,1
IN10029758,1
IN10029760,3
IN10029761,4
IN10029762,2
IN10029763,1
IN10029764,1
IN10029765,1
IN10029766,2
IN10029767,1
IN10029768,1
IN10029770,2
IN10029771,3
IN10029772,1
IN10029773,3
IN10029774,1
IN10029775,1
IN10029777,1
IN10029778,2
IN10029779,2
IN10029780,5
IN10029781,1
IN10029782,1
IN10029783,4
IN10029784,4
IN10029785,1
IN10029786,1
IN10029787,4
IN10029788,2
IN10029789,1
IN10029790,1
IN10029791,1
IN10029792,4
IN10029793,1
IN10029794,1
IN10029797,1
IN10029798,1
IN10029799,1
IN10029800,2
IN10029801,1
IN10029802,3
IN10029803,1
IN10029804,1
IN10029805,1
IN10029808,3
IN10029809,2
IN10029810,1
IN10029811,2
IN10029812,2
IN10029813,2
IN10029815,1
IN10029816,1
IN10029817,1
IN10029818,4
IN10029819,1
IN10029820,4
IN10029821,2
IN10029824,1
IN10029825,1
IN10029826,2
IN10029827,1
IN10029828,1
IN10029829,1
IN10029830,1
IN10029831,1
IN10029833,1
IN10029834,2
IN10029835,1
IN10029836,2
IN10029837,1
IN10029838,2
IN10029840,4
IN10029841,1
IN10029842,1
IN10029843,2
IN10029844,1
IN10029845,2
IN10029846,1
IN10029849,1
IN10029850,1
IN10029851,1
IN10029852,4
IN10029853,4
IN10029854,1
IN10029855,2
IN10029856,1
IN10029857,1
IN10029858,1
IN10029859,1
IN10029860,1
IN10029862,1
IN10029863,1
IN10029864,1
IN10029865,1
IN10029866,1
IN10029867,1
IN10029868,1
IN10029869,1
IN10029870,1
IN10029871,1
IN10029872,1
IN10029873,1
IN10029874,0
IN10029875,3
IN10029876,1
IN10029877,1
IN10029878,2
IN10029879,2
IN10029880,1
IN10029881,2
IN10029882,4
IN10029883,1
IN10029884,1
IN10029885,1
IN10029886,1
IN10029888,1
IN10029889,1
IN10029890,2
IN10029891,1
IN10029892,1
IN10029893,1
IN10029894,1
IN10029895,1
IN10029896,1
IN10029897,1
IN10029900,1
IN10029901,1
IN10029903,2
IN10029907,1
IN10029909,2
IN10029910,1
IN10029912,1
IN10029914,1
IN10029915,1
IN10029916,1
IN10029918,1
IN10029919,1
IN10029921,1
IN10029922,1
IN10029923,2
IN10029924,1
IN10029925,1
IN10029926,1
IN10029927,1
IN10029929,1
IN10029930,1
IN10029931,2
IN10029932,2
IN10029933,1
IN10029934,2
IN10029937,1
IN10029939,2
IN10029940,2
IN10029941,2
IN10029942,1
IN10029943,1
IN10029944,1
IN10029945,2
IN10029946,1
IN10029947,1
IN10029948,1
IN10029949,2
IN10029950,1
IN10029951,1
IN10029952,1
IN10029953,2
IN10029955,1
IN10029956,1
IN10029957,3
IN10029958,3
IN10029959,1
IN10029960,1
IN10029961,1
IN10029962,3
IN10029963,4
IN10029964,2
IN10029965,0
IN10029966,2
IN10029967,1
IN10029968,1
IN10029969,1
IN10029971,1
IN10029972,1
IN10029973,1
IN10029974,1
IN10029975,1
IN10029976,1
IN10029977,2
IN10029978,2
IN10029979,2
IN10029980,2
IN10029982,1
IN10029983,1
IN10029984,1
IN10029985,1
IN10029986,1
IN10029987,3
IN10029988,1
IN10029989,1
IN10029990,4
IN10029991,2
IN10029992,1
IN10029993,1
IN10029994,1
IN10029995,1
IN10029996,1
IN10029997,1
IN10029998,1
IN10029999,1
IN10030000,2
IN10030001,1
IN10030002,1
IN10030003,2
IN10030004,1
IN10030005,2
IN10030006,2
IN10030008,3
IN10030009,1
IN10030010,1
IN10030011,1
IN10030012,1
IN10030013,1
IN10030014,1
IN10030015,1
IN10030016,3
IN10030017,1
IN10030019,1
IN10030020,1
IN10030021,1
IN10030022,1
IN10030023,1
IN10030026,1
IN10030027,3
IN10030028,2
IN10030029,1
IN10030030,1
IN10030031,1
IN10030032,1
IN10030034,1
IN10030035,1
IN10030036,2
IN10030037,1
IN10030038,1
IN10030039,1
IN10030040,1
IN10030041,2
IN10030042,1
IN10030044,1
IN10030045,2
IN10030046,1
IN10030047,1
IN10030048,1
IN10030049,1
IN10030050,2
IN10030051,1
IN10030052,1
IN10030054,2
IN10030055,1
IN10030056,2
IN10030057,1
IN10030058,1
IN10030059,1
IN10030060,1
IN10030061,1
IN10030062,1
IN10030063,1
IN10030064,1
IN10030065,4
IN10030066,1
IN10030067,1
IN10030068,2
IN10030069,1
IN10030070,1
IN10030072,1
IN10030073,1
IN10030074,1
IN10030075,1
IN10030076,2
IN10030077,1
IN10030078,1
IN10030079,1
IN10030080,3
IN10030081,1
IN10030082,1
IN10030083,1
IN10030084,1
IN10030085,6
IN10030086,1
IN10030087,1
IN10030088,1
IN10030089,1
IN10030090,2
IN10030091,1
IN10030092,2
IN10030093,1
IN10030094,1
IN10030095,2
IN10030096,1
IN10030098,2
IN10030099,1
IN10030100,1
IN10030101,2
IN10030102,4
IN10030103,1
IN10030105,2
IN10030106,2
IN10030107,1
IN10030108,1
IN10030109,1
IN10030110,1
IN10030111,2
IN10030112,2
IN10030114,2
IN10030115,1
IN10030116,1
IN10030117,1
IN10030118,2
IN10030119,2
IN10030120,1
IN10030121,1
IN10030122,1
IN10030123,2
IN10030124,1
IN10030125,5
IN10030126,1
IN10030127,1
IN10030128,2
IN10030129,1
IN10030131,2
IN10030132,2
IN10030133,3
IN10030134,2
IN10030135,1
IN10030136,1
IN10030137,1
IN10030138,1
IN10030139,1
IN10030141,3
IN10030142,1
IN10030143,2
IN10030144,2
IN10030145,1
IN10030146,1
IN10030147,1
IN10030148,1
IN10030149,1
IN10030150,1
IN10030151,3
IN10030152,1
IN10030153,1
IN10030154,1
IN10030155,3
IN10030156,2
IN10030157,2
IN10030158,2
IN10030159,2
IN10030160,1
IN10030161,1
IN10030162,1
IN10030163,1
IN10030164,1
IN10030165,1
IN10030166,1
IN10030167,1
IN10030168,5
IN10030169,2
IN10030170,1
IN10030171,1
IN10030172,3
IN10030173,1
IN10030174,1
IN10030176,1
IN10030177,1
IN10030178,2
IN10030181,1
IN10030182,1
IN10030183,3
IN10030187,1
IN10030188,1
IN10030189,1
IN10030191,2
IN10030192,1
IN10030193,1
IN10030194,3
IN10030195,1
IN10030196,2
IN10030198,1
IN10030200,1
IN10030201,2
IN10030202,1
IN10030203,1
IN10030204,1
IN10030205,1
IN10030208,1
IN10030209,1
IN10030210,1
IN10030211,1
IN10030213,2
IN10030214,1
IN10030216,1
IN10030217,4
IN10030218,1
IN10030219,1
IN10030220,1
IN10030221,2
IN10030222,3
IN10030223,2
IN10030224,3
IN10030225,1
IN10030226,1
IN10030227,1
IN10030228,1
IN10030229,1
IN10030230,1
IN10030231,1
IN10030233,1
IN10030234,1
IN10030235,3
IN10030236,1
IN10030237,1
IN10030239,1
IN10030240,1
IN10030241,1
IN10030242,3
IN10030243,1
IN10030244,3
IN10030245,2
IN10030246,1
IN10030247,1
IN10030248,1
IN10030249,1
IN10030250,1
IN10030251,1
IN10030252,2
IN10030253,1
IN10030254,1
IN10030255,1
IN10030256,2
IN10030257,1
IN10030258,1
IN10030259,1
IN10030260,1
IN10030261,1
IN10030262,1
IN10030263,1
IN10030264,1
IN10030265,1
IN10030266,1
IN10030267,1
IN10030268,1
IN10030269,4
IN10030270,3
IN10030271,2
IN10030272,5
IN10030273,2
IN10030274,1
IN10030275,1
IN10030276,1
IN10030277,2
IN10030278,1
IN10030279,1
IN10030280,3
IN10030281,1
IN10030282,1
IN10030283,2
IN10030284,3
IN10030285,1
IN10030286,1
IN10030287,1
IN10030288,1
IN10030289,1
IN10030290,1
IN10030292,1
IN10030293,1
IN10030294,2
IN10030295,1
IN10030296,6
IN10030297,1
IN10030298,1
IN10030299,1
IN10030300,1
IN10030301,1
IN10030302,1
IN10030303,1
IN10030304,1
IN10030305,2
IN10030306,3
IN10030307,1
IN10030308,1
IN10030309,1
IN10030310,1
IN10030311,1
IN10030312,2
IN10030313,1
IN10030314,1
IN10030315,1
IN10030316,1
IN10030317,1
IN10030318,1
IN10030319,1
IN10030320,2
IN10030322,2
IN10030323,3
IN10030324,4
IN10030325,2
IN10030327,2
IN10030328,3
IN10030329,2
IN10030330,2
IN10030331,1
IN10030332,2
IN10030334,1
IN10030335,1
IN10030336,1
IN10030337,1
IN10030338,1
IN10030339,4
IN10030340,2
IN10030341,1
IN10030342,2
IN10030343,1
IN10030344,3
IN10030345,2
IN10030346,0
IN10030347,1
IN10030348,1
IN10030349,1
IN10030350,1
IN10030351,3
IN10030352,2
IN10030353,1
IN10030354,2
IN10030355,2
IN10030356,3
IN10030357,1
IN10030358,1
IN10030359,1
IN10030360,1
IN10030361,1
IN10030364,1
IN10030365,1
IN10030366,3
IN10030367,1
IN10030368,1
IN10030369,2
IN10030370,1
IN10030371,3
IN10030373,1
IN10030374,3
IN10030375,1
IN10030376,3
IN10030377,1
IN10030378,1
IN10030379,1
IN10030380,1
IN10030381,1
IN10030382,1
IN10030383,1
IN10030384,2
IN10030385,1
IN10030386,1
IN10030387,1
IN10030388,1
IN10030389,1
IN10030391,3
IN10030392,1
IN10030393,3
IN10030394,1
IN10030395,3
IN10030397,1
IN10030399,1
IN10030400,1
IN10030402,1
IN10030403,3
IN10030404,2
IN10030405,1
IN10030406,1
IN10030407,1
IN10030408,1
IN10030409,1
IN10030410,1
IN10030411,2
IN10030412,1
IN10030413,3
IN10030414,2
IN10030415,2
IN10030416,1
IN10030419,3
IN10030421,1
IN10030422,3
IN10030424,1
IN10030425,1
IN10030426,1
IN10030428,1
IN10030430,1
IN10030431,3
IN10030432,1
IN10030433,3
IN10030435,1
IN10030436,1
IN10030437,1
IN10030438,1
IN10030439,1
IN10030440,4
IN10030441,1
IN10030442,1
IN10030443,3
IN10030444,1
IN10030445,1
IN10030446,1
IN10030448,1
IN10030449,1
IN10030450,1
IN10030451,3
IN10030452,1
IN10030453,3
IN10030454,0
IN10030455,1
IN10030456,2
IN10030457,2
IN10030458,1
IN10030459,3
IN10030460,3
IN10030461,1
IN10030462,1
IN10030463,1
IN10030464,1
IN10030466,1
IN10030467,1
IN10030468,1
IN10030469,2
IN10030470,1
IN10030471,1
IN10030472,1
IN10030473,2
IN10030474,1
IN10030475,2
IN10030476,1
IN10030477,1
IN10030478,1
IN10030479,1
IN10030480,1
IN10030481,1
IN10030487,1
IN10030488,1
IN10030489,1
IN10030490,2
IN10030491,1
IN10030492,1
IN10030493,1
IN10030494,1
IN10030495,1
IN10030496,1
IN10030497,1
IN10030498,1
IN10030499,1
IN10030500,1
IN10030501,2
IN10030502,1
IN10030503,1
IN10030504,2
IN10030505,1
IN10030506,5
IN10030507,6
IN10030508,2
IN10030509,1
IN10030510,1
IN10030511,1
IN10030512,1
IN10030513,2
IN10030514,1
IN10030515,1
IN10030516,1
IN10030517,1
IN10030518,1
IN10030519,1
IN10030520,3
IN10030522,1
IN10030523,2
IN10030524,1
IN10030525,1
IN10030526,2
IN10030527,1
IN10030528,1
IN10030529,1
IN10030530,2
IN10030531,1
IN10030532,6
IN10030533,1
IN10030534,1
IN10030535,4
IN10030536,1
IN10030537,1
IN10030538,3
IN10030539,2
IN10030540,1
IN10030541,1
IN10030542,1
IN10030543,1
IN10030544,1
IN10030547,2
IN10030548,2
IN10030549,1
IN10030550,1
IN10030551,1
IN10030552,1
IN10030553,1
IN10030555,4
IN10030556,1
IN10030557,1
IN10030558,1
IN10030559,1
IN10030560,4
IN10030561,1
IN10030562,1
IN10030563,1
IN10030564,1
IN10030565,1
IN10030566,1
IN10030568,1
IN10030569,1
IN10030571,1
IN10030572,1
IN10030573,1
IN10030574,1
IN10030576,1
IN10030577,1
IN10030578,1
IN10030579,1
IN10030581,1
IN10030582,2
IN10030583,1
IN10030584,1
IN10030585,1
IN10030586,1
IN10030587,2
IN10030588,3
IN10030589,1
IN10030590,1
IN10030591,1
IN10030592,1
IN10030593,1
IN10030594,2
IN10030595,1
IN10030596,2
IN10030597,1
IN10030598,1
IN10030599,4
IN10030600,1
IN10030601,1
IN10030602,1
IN10030603,1
IN10030604,2
IN10030605,1
IN10030606,1
IN10030607,1
IN10030608,3
IN10030609,1
IN10030610,2
IN10030611,1
IN10030612,1
IN10030613,1
IN10030614,1
IN10030615,3
IN10030616,1
IN10030617,0
IN10030618,1
IN10030619,1
IN10030620,1
IN10030621,1
IN10030622,2
IN10030623,2
IN10030624,2
IN10030625,3
IN10030626,1
IN10030627,1
IN10030628,3
IN10030629,2
IN10030630,1
IN10030631,1
IN10030632,1
IN10030634,1
IN10030635,1
IN10030636,0
IN10030637,1
